input,explanations,gold_relations
Hepatotoxicity related to itraconazole: report of three cases.,Explanation: Explanation: Explanation: Three cases of hepatotoxicity were reported related to itraconazole.</s></s></s>,"[['itraconazole', 'Hepatotoxicity']]"
METHODS: Three patients with apparent itraconazole-induced liver injury were studied.,Explanation: Explanation: Explanation: Three patients were studied who had itraconazole-induced liver injury.</s></s></s>,"[['itraconazole', 'liver injury']]"
The occurrence of acute hepatitis is best known for ketoconazole.,Explanation: Explanation: Explanation: Ketoconazole is known to cause acute hepatitis.</s></s></s>,"[['ketoconazole', 'hepatitis']]"
"We report on three patients who developed acute liver damage during therapy with itraconazole, and in whom liver biopsy specimens were obtained.",Explanation: Explanation: Explanation: Three patients developed acute liver damage during therapy with itraconazole.</s></s></s>,"[['itraconazole', 'liver damage']]"
We suggest that itraconazole should be added to the list of drugs that may be responsible for a drug-induced vanishing bile duct syndrome.,Explanation: Explanation: Explanation: Itraconazole may be responsible for drug-induced vanishing bile duct syndrome.</s></s></s>,"[['itraconazole', 'vanishing bile duct syndrome']]"
"With itraconazole, hepatotoxic reactions have only very rarely been reported, and histologic data are lacking.","Explanation: Explanation: Explanation: Itraconazole has been reported to cause hepatotoxic reactions, although there is a lack of histologic data.</s></s></s>","[['itraconazole', 'hepatotoxic']]"
Thrombotic stroke associated with the use of porcine factor VIII in a patient with acquired haemophilia.,Explanation: Explanation: Explanation: Thrombotic stroke was associated with the use of porcine factor VIII in a patient with acquired haemophilia.</s></s></s>,"[['porcine factor VIII', 'Thrombotic stroke']]"
We have recently encountered a patient with acquired haemophilia who developed a thrombotic left middle cerebral artery distribution stroke while being treated with pFVIII.,Explanation: Explanation: Explanation: Patient with acquired haemophilia developed thrombotic left middle cerebral artery distribution stroke while being treated with pFVIII.</s></s></s>,"[['pFVIII', 'thrombotic left middle cerebral artery distribution stroke']]"
We speculate that platelet activation induced by pFVIII may have contributed to thrombosis and suggest that pFVIII be used with caution in elderly patients with pre-existing cardiovascular risk factors.,Explanation: Explanation: Explanation: Platelet activation induced by pFVIII may have contributed to thrombosis.</s></s></s>,"[['pFVIII', 'thrombosis']]"
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,Explanation: Explanation: Explanation: Two cases of Cutaneous sarcoidosis occurred during treatment with interferon alfa and ribavirin for hepatitis C virus infection.</s></s></s>,"[['interferon alfa', 'Cutaneous sarcoidosis'], ['ribavirin', 'Cutaneous sarcoidosis']]"
There have been more than 20 observations of the appearance or aggravation of this granulomatosis with interferon alfa and more recently with the combination of interferon alfa plus ribavirin.,Explanation: Explanation: Explanation: Interferon alfa and ribavirin have been observed to cause or aggravate granulomatosis.</s></s></s>,"[['interferon alfa', 'granulomatosis'], ['interferon alfa', 'granulomatosis'], ['ribavirin', 'granulomatosis']]"
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,Explanation: Explanation: Explanation: Two patients with hepatitis C virus infection who were treated with interferon alfa and ribavirin reported new cases of sarcoidosis.</s></s></s>,"[['interferon alfa', 'sarcoidosis'], ['ribavirin', 'sarcoidosis']]"
"CONCLUSIONS: Although mirtazapine offers clinicians a combination of strong efficacy and good safety, we suggest bearing SS in mind when prescribing this drug, especially in frail, elderly patients with underlying chronic conditions.","Explanation: Explanation: Explanation: SS is a side effect of mirtazapine, especially in elderly patients with chronic conditions.</s></s></s>","[['mirtazapine', 'SS']]"
DISCUSSION: A review of the cases of SS with implication of mirtazapine as the cause was performed.,Explanation: Explanation: Explanation: Mirtazapine was implicated as the cause of SS in a review of cases.</s></s></s>,"[['mirtazapine', 'SS']]"
"OBJECTIVE: To document a case of serotonin syndrome (SS) associated with mirtazapine monotherapy, review the previously reported cases of SS associated with this tetracyclic antidepressant, and discuss the possible pathogenic mechanisms leading to this serious adverse drug reaction.",Explanation: Explanation: Explanation: Mirtazapine caused serotonin syndrome (SS) in a case and has been reported to cause SS in other cases as well.</s></s></s>,"[['mirtazapine', 'serotonin syndrome'], ['mirtazapine', 'SS']]"
Severe serotonin syndrome induced by mirtazapine monotherapy.,Explanation: Explanation: Explanation: Severe serotonin syndrome was induced by mirtazapine monotherapy.</s></s></s>,"[['mirtazapine', 'serotonin syndrome']]"
Pulmonary toxicity secondary to procarbazine.,Explanation: Explanation: Explanation: Pulmonary toxicity was caused by procarbazine.</s></s></s>,"[['procarbazine', 'Pulmonary toxicity']]"
A 64-year-old man presented with proteinuria during postoperative interferon (IFN)-beta therapy against malignant melanoma.,Explanation: Explanation: Explanation: Proteinuria occurred in a patient during postoperative interferon (IFN)-beta therapy.</s></s></s>,"[['interferon (IFN)-beta', 'proteinuria']]"
Minimal change nephrotic syndrome developing during postoperative interferon-beta therapy for malignant melanoma.,Explanation: Explanation: Explanation: Minimal change nephrotic syndrome developed during interferon-beta therapy for malignant melanoma.</s></s></s>,"[['interferon-beta', 'Minimal change nephrotic syndrome']]"
To our knowledge this is the first report that demonstrates histological abnormalities of the glomerulus associated with postoperative IFN-beta therapy for the malignant melanoma.,Explanation: Explanation: Explanation: Histological abnormalities of the glomerulus were associated with postoperative IFN-beta therapy for malignant melanoma.</s></s></s>,"[['IFN-beta', 'histological abnormalities of the glomerulus']]"
"The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.",Explanation: Explanation: Explanation: Ciprofloxacin caused delayed elimination of methotrexate and toxicity in two cases.</s></s></s>,"[['ciprofloxacin', 'delayed elimination'], ['methotrexate', 'delayed elimination'], ['ciprofloxacin', 'toxicity']]"
CONCLUSIONS: Clinicians should be aware of the possible association of thrombocytopenia with lansoprazole and discontinue the drug if thrombocytopenia becomes apparent.,Explanation: Explanation: Explanation: Lansoprazole is associated with thrombocytopenia and should be discontinued if it becomes apparent.</s></s></s>,"[['lansoprazole', 'thrombocytopenia']]"
"DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.",Explanation: Explanation: Explanation: Idiosyncratic thrombocytopenic response to lansoprazole was observed and believed to be the cause of thrombocytopenia.</s></s></s>,"[['lansoprazole', 'thrombocytopenia'], ['lansoprazole', 'thrombocytopenic']]"
"He was started on oral lansoprazole 60 mg twice daily and, on hospital day 2, his platelet count decreased to 102 x 10(3)/mm(3); on hospital day 3, the platelet count was 36 x 10(3)/mm(3).",Explanation: Explanation: Explanation: Oral lansoprazole caused a decrease in platelet count.</s></s></s>,"[['lansoprazole', 'platelet count decreased']]"
Lansoprazole-induced thrombocytopenia.,Explanation: Explanation: Explanation: Thrombocytopenia was induced by Lansoprazole.</s></s></s>,"[['Lansoprazole', 'thrombocytopenia']]"
OBJECTIVE: To describe a case of thrombocytopenia associated with the administration of lansoprazole.,Explanation: Explanation: Explanation: A case of thrombocytopenia was associated with the administration of lansoprazole.</s></s></s>,"[['lansoprazole', 'thrombocytopenia']]"
"To date, this is the first reported case of what appears to be isolated thrombocytopenia associated with lansoprazole.",Explanation: Explanation: Explanation: This is the first reported case of thrombocytopenia associated with lansoprazole.</s></s></s>,"[['lansoprazole', 'thrombocytopenia']]"
Life-threatening anaphylactoid reaction to amifostine used with concurrent chemoradiotherapy for nasopharyngeal cancer in a patient with dermatomyositis: a case report with literature review.,Explanation: Explanation: Explanation: a case of anaphylactoid reaction to amifostine was reported in a patient with dermatomyositis.</s></s></s>,"[['amifostine', 'anaphylactoid reaction']]"
"The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.","Explanation: Explanation: Explanation: Common side effects associated with amifostine include allergic reactions, hypocalcemia, hypotension, nausea, and vomiting.</s></s></s>","[['amifostine', 'allergic reactions'], ['amifostine', 'hypocalcemia'], ['amifostine', 'hypotension'], ['amifostine', 'nausea'], ['amifostine', 'vomiting']]"
The patient suffered a life-threatening anaphylactoid reaction to amifostine.,Explanation: Explanation: Explanation: Patient suffered a life-threatening anaphylactoid reaction to amifostine.</s></s></s>,"[['amifostine', 'life-threatening anaphylactoid reaction']]"
Agranulocytosis during clozapine therapy.,Explanation: Explanation: Explanation: Agranulocytosis occurred during clozapine therapy.</s></s></s>,"[['clozapine', 'Agranulocytosis']]"
Granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.,Explanation: Explanation: Explanation: Clozapine is associated with agranulocytosis and Granulocytopenia as adverse effects.</s></s></s>,"[['clozapine', 'agranulocytosis'], ['clozapine', 'Granulocytopenia']]"
"The female patient received clozapine in a daily dose of 400 mg, which induced agranulocytosis after 2 months.",Explanation: Explanation: Explanation: Clozapine in a daily dose of 400 mg induced agranulocytosis in the female patient after 2 months.</s></s></s>,"[['clozapine', 'agranulocytosis']]"
