input,response
Rhabdomyolysis associated with clozapine treatment in a patient with decreased calcium-dependent potassium permeability of cell membranes.,"[[""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis""], [""Clozapine""], [""Rhabdomyolysis"
"Overdose of magnesium sulfate in combination with renal insufficiency, hypocalcemia, or compromise of intestinal integrity may predispose horses to magnesium toxicosis.","[[""magnesium sulfate"",""toxicosis""]]"
"A woman 38-year-old, suffering for about ten years from multiple sclerosis and treated with repeated therapy cycles of intrathecal Depo-Medrol, developed a spastic paraparesis at the lower limbs.","[[""Depo-medrol"",""spastic paraparesis""]]"
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.","[[""hydroxyurea"",""squamous cell carcinoma""]]"
A 58-year-old man with advanced renal cell carcinoma developed grade 3 proteinuria (8.5 g/24 h) without microscopic hematuria or renal insufficiency five days after temsirolimus infusion.,"[[""temsirolimus"",""proteinuria""]]"
"Treatment of ELP in children is generally supportive, with the symptoms and roentgenographic abnormalities resolving within months after stopping the use of mineral oil.","[[""Epilepsy"",""treatment""]]"
"DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.","[[""lansoprazole"",""idiosyncratic thrombocytopenic response""]]"
A case is reported of a 40 year old woman treated with intraventricular IL-2 for leptomeningeal disease who developed progressive cognitive dysfunction.,"[[""40 year old woman""], [""progressive cognitive dysfunction""], [""intraventricular IL-2""], [""leptomeningeal disease""]]"
CONCLUSIONS: The 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.,"[[""valproate"",""reproductive endocrine disorders""]]"
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,"[[""Clindamycin"",""liver disease""], [""Clindamycin"",""drug interaction""], [""Clindamycin"",""drug""], [""Clindamycin"",""sulfamethoxazole""]]"
"A 58-year-old woman with rheumatoid arthritis (RA) developed fever, skin eruptions, leukocytopenia, and thrombocytopenia, 3 weeks after treatment with sulfasalazine.","[[""sulfasalazine"",""leukopenia""]]"
"Fatal agranulocytosis in an Indian male receiving 100mg of dapsone daily, hospitalized for mid-borderline leprosy in type I reaction with triple nerve paralysis is reported.","[[""dapsone"",""agranulocytosis""]]"
Valproate-induced hyperammonemia as a cause of altered mental status.,"[[""valproate"",""altered mental status""]]"
"When cyanamide-treated alcoholics relapse into drinking, more severe inflammation develops in the liver.","[[""cyanamide"",""liver""]]"
This case illustrates the potential decoupling of PSA response from disease status in flutamide withdrawal.,"[[""flutamide"",""disease status""]]"
The diagnosis of hypothermia was delayed until it was apparent for several days but resolved with the discontinuation of risperidone and continuation of clozapine.,"[[""risperidone"",""hypothermia""]]"
"Iatrogenic hypercalcemia due to vitamin D3 ointment (1,24(OH)2D3) combined with thiazide diuretics in a case of psoriasis.","[[""1,24(OH)2D3"",""hypercalcemia""]]"
PURPOSE: A case of carbamazepine-induced hyperammonemia is presented.,"[[""carbamazepine"",""hyperammonemia""]]"
RESULTS: A clinical diagnosis of fixed drug eruption owing to use of the PDE5 inhibitor tadalafil (Cialis) was made.,"[[""Cialis"",""fixed drug eruption""]]"
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.","[[""riluzole"",""relapse of hepatitis""]]"
Disulfiram-induced hepatitis.,"[[""disulfiram"",""drug interaction""]]"
Possible heart failure exacerbation associated with rosiglitazone: case report and literature review.,"[[""rosiglitazone"",""heart failure exacerbation""]]"
We report 3 children with epilepsy who developed facial motor tics after initiation of CBZ for complex partial seizures.,"[[""CBZ"",""complex partial seizures""]]"
CONCLUSIONS: Jet-injection devices might constitute a helpful method to treat those patients affected by severe human insulin-induced lipoatrophy.,"[[""jet-injection devices"",""treatment""]]"
Oxcarbazepine-induced Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS).,"[[""DRESS"",""drug""]]"
"Although there is one case report of cholesterol crystal embolization following t-PA therapy with only extrarenal manifestations (N Engl J Med 321:1270, 1989), this is the first reported case of atheroembolic acute renal failure following t-PA therapy.","[[""t-PA"",""acute renal failure""]]"
Doxycycline-induced photo-onycholysis.,"[[""doxycycline"",""photo-onycholysis""]]"
A case of tuberculosis in a patient on Efalizumab and Etanercept for treatment of refractory palmopustular psoriasis and psoriatic arthritis.,"[[""Efalizumab"",""psoriasis""], [""Efalizumab"",""psoriatic arthritis""]]"
Fluoxetine-related death in a child with cytochrome P-450 2D6 genetic deficiency.,"[[""Fluoxetine"",""genetic deficiency""]]"
Systemic vasculitis complicating hairy cell leukaemia treatment with cladribine.,"[[""cladribine"",""side-effect""]]"
"Cyclosporine is a potent inhibitor of simvastatin metabolism, and may therefore facilitate simvastatin-induced rhabdomyolysis.","[[""cyclosporine"",""metabolism""], [""cyclosporine"",""rhabdomyolysis""]]"
We report two young patients with cystic fibrosis who presented with acute renal insufficiency after 2-3 weeks of oral ciprofloxacin therapy.,"[[""ciprofloxacin"",""acute renal insufficiency""]]"
Thus cabergoline may cause similar pleuropulmonary abnormalities to bromocriptine.,"[[""cabergoline"",""pleuropulmonary abnormalities""], [""cabergoline"",""bromocriptine""]]"
We report the case of a patient with multiple myeloma who developed acute life-threatening water intoxication following treatment with oral indomethacin and low dose intravenous cyclophosphamide.,"[[""cyclophosphamide"",""water intoxication""]]"
Sulfasalazine-induced lupus erythematosus.,"[[""Sulfasalazine"",""lupus erythematosus""]]"
RESULTS: A 34-year-old man acquired visual field defects and severe vision loss in both eyes after intravitreal injection of triamcinolone for diabetic macular edema.,"[[""triamcinolone"",""acquired visual field defects""]]"
"A 47 year-old woman who had a 4-year history of intramuscular pentazocine injections in the lower extremities, developed gradual stiffness and weakness of the lower extremities.","[[""pentazocine"",""stiffness""]]"
"CONCLUSION: During and after IFN therapy, OCT is a useful examination technique for revealing macular edema in patients who have decreased vision.","[[""macular edema""], [""macular edema""], [""infant""], [""infant""], [""macular edema""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular edema""], [""infant""], [""macular e"
Sagittal sinus thrombosis associated with transient free protein S deficiency after L-asparaginase treatment: case report and review of the literature.,"[[""L-asparaginase"",""sagittal sinus thrombosis""]]"
"We present a case of acute epinephrine toxicity resulting in acute myocardial ischemia in a young boy with combined variable immunodeficiency syndrome who developed severe allergic reaction to intravenous immunoglobulin, and was subsequently given epinephrine by mistake intravenously rather than subcutaneously.","[[""epinephrine"",""toxicity""]]"
A patient developed optic neuropathy while being treated with isoniazid and ethambutol.,"[[""isoniazid"",""ocular toxicity""], [""ethambutol"",""ocular toxicity""]]"
"However, as the use of hepatitis B vaccination is growing, adverse side effects, including mental nerve neuropathy, should be observed with an increased frequency.","[[""mental nerve neuropathy""], [""hepatitis B vaccination""], [""mental nerve neuropathy""]]"
Lichen planus and acne provoked by gold.,"[[""Lichen planus""], [""Acne""], [""Gold""], [""Lichen""]]"
These are the first reported patients to show mfERG abnormalities that correspond to bitemporal visual field defects and add to the growing evidence that ethambutol damages the retina.,"[[""ethambutol"",""mfERG abnormalities""]]"
Danazol induced thrombocytopenia.,"[[""danazol"",""thrombocytopenia""]]"
